ccaa,fuente,url,metodo,terminos,resultados,accesible,observaciones
Comunitat Valenciana,"MITECO - Costas, participacion publica (https://www.miteco.gob.es/es/costas/participacion-publica.html)",,curl del indice y WebFetch de fichas,"Sagunto, Valencia Digital, CNC02/25/46","La ficha del expte. CNC02/25/46/0013 (VDPC) ya no esta publicada (404); la ficha CNC02/25/46/0011 (i-DE, Sagunto, ago-2026) es un tramo de 12 m de red de baja tension sin relacion con el CPD",1,"RESULTADO. La Comunitat Valenciana tiene un unico expediente administrativo de centro de datos privado publicado en el DOGV en 2019-2026: el Proyecto de Interes Autonomico 'Data Center El Lobo' de Preval Renewable 2, S.L. (grupo Valfortec) en Monforte del Cid (30 MW electricos en 3 fases, ~25 MW IT, CAPEX declarado 302,1 M EUR, 12.557 m2 de parcela), admitido a tramite el 28-04-2026 y en informacion publica por anuncio del DOGV num. 10392 de 26-06-2026. Es el primer caso de la base con inversion declarada dentro de un expediente oficial (informe economico del promotor, con desglose por partidas y por fase), aunque sigue siendo una cifra del promotor y no un presupuesto visado. Coste implicito 10,1 M EUR/MW electrico (18,2 en la fase I), coherente con los 10,2 M EUR/MW informatico de Salas. El segundo proyecto con rastro oficial es el cable submarino Barracuda de Valencia Digital Port Connect, S.L. (NIF B16761702) en Sagunto, con dos concesiones en informacion publica en el BOE (Costas, ene-2026; APV, abr-2026); el CPD de 10 MW asociado solo consta en prensa. El tercero, Nx01 de NxN en Vara de Quart (6 MW, 60 M EUR), tiene licencia municipal segun nota del Ayuntamiento de Valencia, sin expediente publicado. Digital Valley (Picassent, 200 MW, 2.200 M EUR anunciados por la Generalitat en ene-2025) no tiene ningun tramite administrativo publicado 19 meses despues y la prensa lo califica de especulativo. VIAS. Via 1 (electrica): sin resultados; los CPD valencianos son pequenos (6-30 MW) y se conectan a distribucion (i-DE 66/20 kV), por lo que ni el BOE (400 kV) ni el portal de energia de la GVA (1.022 anuncios revisados, ninguno de CPD) los recogen; la unica infraestructura electrica asociada localizada es la PSF El Lobo (36,08 MWn, Preval Renewable 2; AAC DOGV 27-06-2025) que segun el expediente del PIA alimentara al CPD, aunque la resolucion no lo menciona. Via 2 (urbanistica): el instrumento valenciano equivalente al PIGA aragones o al PEI madrileno es el PIA del TRLOTUP (redaccion del Decreto-ley 14/2025, convalidado como Ley 3/2026), cuyos expedientes se publican integros en mediambient.gva.es/auto/planes-accion-territorial/ con memoria, proyecto de actividad e informe economico: es la fuente mas rica de la comunidad y conviene vigilarla. Via 3 (ambiental): 0 expedientes de CPD; el dataset de DIC (2.136 parcelas) tampoco contiene ninguno. Via 4 (municipal): solo la nota de Valencia sobre NxN. COMPROBACIONES: DOGV rastreado con el API del backend (741 resultados unicos volcados a CSV), BOE por titulo 2019-2026 (457 titulos con terminos de CPD, ninguno valenciano), portal de energia GVA completo, PIA/PIES completos, DIC completo. Fuera del alcance: el macro CPD de 25 MW de Catadau (promotor no identificado, acceso denegado por REE en 2026) y el 'Logistics Data Campus' de Villena (solo un fragmento de busqueda). No se han modificado centros_datos_expedientes.csv ni CLAUDE.md. Originales guardados en datos/crudos/boletines/VC/ (BOE, DOGV, expediente PIA completo, notas oficiales, prensa). LIMITACIONES: el presupuesto de WebSearch se agoto a mitad del barrido; DCD, eleconomista y datacentermap bloquean el acceso automatico; el 'Proyecto de actividad' del PIA es un PDF escaneado sin texto (no se pudo extraer superficie construida ni PEM); no consta el NIF de Preval Renewable 2 en ningun documento publicado. SEGUIMIENTO SUGERIDO: (1) declaracion del PIA El Lobo por el Consell (DOGV, previsiblemente 2S-2026) y posterior licencia en Monforte del Cid; (2) resoluciones de otorgamiento de las concesiones de VDPC (BOE) y licencia de la estacion de aterrizaje en Sagunt; (3) peticion al Ayuntamiento de Valencia del expediente de licencia de Nx01 (base del ICIO); (4) cruce con el listado de Red Electrica en los nudos Catadau 400 kV y Saguntum 220 kV; (5) vigilar Castellon y Alicante, donde Data Center Map lista instalaciones sin expediente reciente."
Comunitat Valenciana,"Prensa y web corporativa (Valencia Plaza, Alicante Plaza, Castellon Plaza, El Plural, Xataka, Economia 3, Datacentermarket, 7televalencia, Forbes/idealista/Bolsamania para NxN)",,WebFetch y curl; copias locales en datos/crudos/boletines/VC/prensa/,centro de datos Comunitat Valenciana; Valfortec Monforte; Digital Valley Picassent; VDPC Sagunto; NxN; Catadau; Castellon; Alicante/Elche/Alcoy/Villena,"6 articulos guardados; proyectos identificados: El Lobo, VDPC, NxN, Digital Valley, Catadau (25 MW, promotor no identificado), Villena (solo fragmento)",1,"Valencia Plaza (2025) cifra en 9 los CPD operativos en la Comunitat (Nixval, Plexval, Parc Tecnologic, Isla Link, Digital Value, ProRed, Grupo Aire en Valencia; Abserver en Alicante; Walhalla en Castellon) con unos 4 MW en total; ninguno con expediente reciente localizado. Alcoy: 'Centro de Excelencia y Oficina del Dato' (1 M EUR, fondos UE) es un servicio publico de datos, no un CPD de inversion."
Comunitat Valenciana,"WebSearch general (prensa, portales)",,WebSearch con y sin filtro site:,centro de datos Comunitat Valenciana / Sagunto / Alicante / Castellon / Elche / Requena...; Digital Valley Picassent; Valfortec Monforte; Catadau; NxN Paterna; Valencia Digital Port Connect; site:gva.es,unas 25 consultas utiles,1,"El presupuesto de WebSearch de la sesion (200/200) se agoto a mitad del barrido; el resto se hizo con curl, WebFetch y los API/buscadores propios (DOGV, BOE, GVA). Consultas previstas y no ejecutadas por ello: site:dogv.gva.es Valfortec; site:boe.es VDPC; Walhalla Castellon; Nabiax Valencia 50 MW; Parc Sagunt; Villena L14 REIS."
ES,BOE (buscador a texto completo),https://www.boe.es/buscar/boe.php,"GET, secciones III y V","""centro de datos""; ""centros de datos""; ""centro de proceso de datos""; ""centro de procesamiento de datos""; ""data center""; CPD; ""subestacion remota""","2.040 unicos; 11 autorizaciones electricas en total, 2 desde 2019; 1 fila",1,"El BOE publica las autorizaciones de instalaciones que conectan a 400 kV o exceden de una comunidad; los expedientes de centros de datos son casi todos autonomicos y no salen aqui. De los 1.505 sin clasificar, los 20 que vienen de organos que autorizan instalaciones son ordenes ministeriales, no expedientes."
ES,"TED (Tenders Electronic Daily), contratos de obra",https://api.ted.europa.eu/v3/notices/search,"API de busqueda, texto completo, contract-nature=works",centro de proceso de datos; centro de procesamiento de datos; centro de datos,23 contratos de obra; 7 con el centro como objeto; 7 filas,1,"Solo lo que supera el umbral europeo. Buscar por titulo da cero: el objeto vive en el cuerpo del anuncio, no en el rotulo del CPV"
EX,"Archivo local, expedientes no electricos",,"lectura de fichas (ambiental, urbanistico, municipal)",centro de datos; centro de proceso de datos; data center,17 documentos; 10 utilizables; 6 filas,1,Sin cita derivable del nombre no hay fila: por eso quedan fuera.
GA,"Archivo local, expedientes no electricos",,"lectura de fichas (ambiental, urbanistico, municipal)",centro de datos; centro de proceso de datos; data center,15 documentos; 8 utilizables; 3 filas,1,Sin cita derivable del nombre no hay fila: por eso quedan fuera.
IB,"Archivo local, expedientes no electricos",,"lectura de fichas (ambiental, urbanistico, municipal)",centro de datos; centro de proceso de datos; data center,20 documentos; 4 utilizables; 3 filas,1,Sin cita derivable del nombre no hay fila: por eso quedan fuera.
Illes Balears,Ajuntament de Marratxí (marratxi.es),https://www.marratxi.es/vodafone-escull-marratxi-per-installar-el-seu-nou-data-center/,Búsqueda del sitio (?s=Vodafone) y descarga de la nota,Vodafone,1 nota de prensa (18-01-2024),1,Copia en datos/crudos/boletines/IB/NP_AjuntamentMarratxi_2024-01-18_Vodafone_DataCenter.html
Illes Balears,BOE - buscador https://www.boe.es/buscar/boe.php (campo Texto = texto completo),https://www.boe.es/buscar/boe.php,"GET con filtros de sección, texto completo y fechas 2019-01-01 a 2026-09-02; parseo de resultados y paginación","""centro de datos"" + Baleares / Balears / Mallorca / Palma / Menorca / Ibiza / Eivissa / Marratxí; ""centros de datos"" Baleares; ""centro de proceso de datos"" Baleares; ""centro de procesamiento de datos"" Baleares; ""data center"" Baleares; también título 'Baleares' + texto ""centro de datos"" en secciones III y V","0 anuncios pertinentes. Totales brutos: 10, 7, 13, 12, 8, 10, 2, 0, 7, 9, 0, 8; todos son revocaciones de NIF de la AEAT, órdenes de servicios mínimos, convenios del CSIC o concursos de personal",1,"El único anuncio eléctrico de competencia estatal en Baleares localizado en el barrido es BOE-B-2026-6524 (interconexión 132 kV San Martín-Líthica, Red Eléctrica), sin relación con centros de datos. Copia de una consulta en datos/crudos/boletines/IB/BOE_cerca_text_centro_de_datos_Baleares_2026-09-02.html"
Illes Balears,BOIB - buscador propio (https://www.caib.es/eboibfront/cercar),https://www.caib.es/eboibfront/,"Crawler por GET con page=N, fec_ini/fec_fin, lang=ca y lang=es; el motor devuelve como máximo 50 resultados por consulta y no respeta las comillas de frase, por lo que se dividió por año (2019-2026) y se comprobó que ningún tramo alcanzara 50","ca: centre de dades, centres de dades, centre de processament de dades, centre de procés de dades, CPD, data center, subestació remota; es: centro de datos, centros de datos, centro de proceso de datos, centro de procesamiento de datos, CPD, data center, subestación remota; además Vodafone, Infotelecom, Juniper, Telefónica Edge, Fundació Bit CPD","223 resultados brutos, 151 documentos únicos 2019-2026; 0 expedientes de centros de datos. Hits reales: planeamiento del ParcBit (MP5 2020-2021, MP6 2026, Decreto ley 2/2020), Decreto 63/2025 estatutos IB Digital, arrendamiento de oficinas con espacio para CPD (BOIB 72/2022), servidores para el CPD del Ayuntamiento de Inca (BOIB 84/2022), subvenciones de autoconsumo a Infotelecom (BOIB 35/2025 y 79/2025)",1,"Listado completo en datos/crudos/boletines/IB/BOIB_barrido_resultats_2026-09-02.csv y log en BOIB_barrido_log_2026-09-02.txt. 'data center' y 'subestación remota' devuelven 0 en ambas lenguas. El resto de resultados son ruido (centros educativos, protección de datos, convocatorias)."
Illes Balears,Bing y DuckDuckGo (HTML) como sustitutos de búsqueda,,curl,centro de datos Mallorca,Resultados irrelevantes o página de verificación de bots,0,Descartados.
Illes Balears,Buscador general del Govern (caib.es/govern/cercador.do) y sala de prensa pidip2front,https://www.caib.es/pidip2front/,GET al buscador general (devuelve solo el menú; resultados cargados por JavaScript) y POST a pidip2front (formulario JSF con ViewState),"centre de dades, centro de datos, centre de processament de dades",no utilizable,0,Las notas de prensa del Govern se localizaron indirectamente vía Google News RSS y URL semántica (supercomputador Talaia).
Illes Balears,"CMAIB - Comissió de Medi Ambient de les Illes Balears (documentos iniciales de evaluación ordinaria, acuerdos del pleno, autorización ambiental integrada)",https://www.caib.es/sites/serveiassessoramentambiental/ca/,Descarga de las tres páginas de listados y búsqueda de términos en el texto,"centre de dades, centro de datos, CPD, processament de dades, data center, subestació",0 coincidencias en las tres páginas (566-643 enlaces cada una),1,"La página 'documents ambientals en tramitació d'avaluació simplificada' devolvió una página vacía (1,8 KB). Copias en datos/crudos/boletines/IB/CMAIB_*.html"
Illes Balears,Consell Insular d'Eivissa (conselldeivissa.es),https://www.conselldeivissa.es/,WebFetch de la portada,centre de processament de dades,Sin noticia visible de enero de 2023; sección de noticias con URL asset_publisher,1,No se localizó la nota oficial del CPD; se usa Noudiari.
Illes Balears,"Conselleria d'Empresa, Autònoms i Energia - Información pública de proyectos (instalaciones eléctricas, BESS, fotovoltaica, interés autonómico energético)",https://caib.es/sites/energiaicanviclimatic/es/informacian_pablica_de_proyectos/,Descarga de la lista completa y filtrado de los 206 títulos por dades/datos/CPD/processament/subestación,"centro de datos, centre de dades, CPD, subestación, línea, interés autonómico","206 procesos listados; 0 mencionan centros de datos. Las ampliaciones de subestación (Inca 66 kV, Son Reus 66 kV, Santa Ponça 220 kV, Ciutadella 132 kV, Líthica 132 kV, San Jorge 132 kV, etc.) son de red de transporte/distribución, y el resto son BESS y parques fotovoltaicos",1,Copia en datos/crudos/boletines/IB/CAIB_energia_informacio_publica_projectes_2026-09-02.html
Illes Balears,Data Center Dynamics (datacenterdynamics.com),https://www.datacenterdynamics.com/es/,curl (WebFetch devuelve 403),"Infotelecom, Vodafone Marratxí, Parc Bit data center","3 artículos: 18-04-2023 (CPD Fundació Bit), 22-01-2024 (Vodafone Marratxí), 02-06-2026 (Infotelecom)",1,Copias en datos/crudos/boletines/IB/PRENSA_DCD_*.html
Illes Balears,Data Center Map,https://www.datacentermap.com/spain/,No intentado por instrucción (bloquea clientes automáticos),,El índice datos/intermedios/dcm_indice.csv solo contiene Madrid (81) y Zaragoza (22); no hay fichas de Baleares en el índice local,0,"Las 6 fichas baleares citadas por el orquestador (Palma 3, Ibiza 1, Maó 1, Ciutadella 1) son compatibles con Infotelecom (Palma, Maó, Ciutadella), Vodafone (Palma) y una tercera instalación en Palma y otra en Ibiza no identificadas en este barrido."
Illes Balears,Google News RSS (news.google.com/rss/search),https://news.google.com/rss/search?q=%22centro+de+datos%22+Baleares&hl=es&gl=ES&ceid=ES:es,curl de 30 consultas en es y ca,"""centro de datos"" Mallorca/Baleares/Palma/Ibiza/Menorca/Son Castelló; ""centre de dades"" Balears; ""data center"" Mallorca; CPD Mallorca; Fundació Bit CPD; supercomputación ParcBit; Telefónica Palma nodo Edge; Vodafone Marratxí; Infotelecom; Consell de Mallorca CPD; IB-Salut CPD; hiperescala Baleares","Solo cuatro proyectos baleares en 2019-2026: Infotelecom Palma, Vodafone Marratxí, nodo Edge de Telefónica en Palma y supercomputador Talaia; ninguna noticia de campus, hiperescala ni solicitud de acceso en Baleares",1,Los enlaces de Google News redirigen mediante JavaScript y no se resolvieron con curl; los artículos se recuperaron accediendo directamente a los medios cuando fue posible.
Illes Balears,Sala de prensa de Vodafone España y sala de comunicación de Telefónica,https://saladeprensa.vodafone.es/,Búsqueda del sitio (redirección) y URL probada,Marratxí; 17 nodos Edge,La nota de Vodafone de 18-01-2024 no aparece en el listado accesible; la ruta de Telefónica probada devolvió 404,0,Ambas notas existen según Google News (títulos y fechas) pero no se obtuvo la URL directa.
Illes Balears,Sala de prensa del Govern (caib.es/pidip2front) - nota del supercomputador Talaia,https://www.caib.es/pidip2front/ficha_convocatoria.xhtml?lang=es&urlSemantica=las-illes-balears-ponen-en-marcha-su-primer-centro-de-supercomputacion-e-inteligencia-artificial,URL semántica deducida del título en Google News,supercomputación,1 nota (16-07-2026),1,Copia en datos/crudos/boletines/IB/NP_CAIB_2026-07-16_Centre_Supercomputacio_Talaia.html
Illes Balears,WebSearch (motor de la consola),,"14 consultas con site:caib.es, site:boe.es y prensa antes de agotarse el presupuesto de la sesión (200 búsquedas compartidas); 4 consultas posteriores rechazadas",site:caib.es eboibfront centre de dades / centro de datos / centre de processament de dades; site:boe.es centro de datos Baleares; centro de datos Mallorca/Ibiza/Menorca/Baleares; Govern Illes Balears centro de datos; hiperescala Baleares; Telefónica/Adamo/Sampol Baleares CPD,"Sin expedientes; identificó Infotelecom Palma (2026), Vodafone Marratxí (2024), CPD Fundació Bit ParcBit (2023), CPD Consell d'Eivissa (2023), Centro de IA y Supercomputación ParcBit (2022), Decreto 63/2025 IB Digital",1,Presupuesto agotado a mitad del barrido; sustituido por Google News RSS y buscadores propios de las fuentes.
Illes Balears,"Última Hora, Diario de Mallorca, Noudiari",https://www.ultimahora.es/,curl de artículos concretos; el buscador de Última Hora devolvió 404 y la hemeroteca de Diario de Mallorca no filtró por el término,centro de datos,3 artículos útiles (Infotelecom 15-05-2026; Centro de IA y Supercomputación 21-12-2022; CPD Consell d'Eivissa 16-01-2023),1,Copias en datos/crudos/boletines/IB/PRENSA_UltimaHora_*.html y PRENSA_Noudiari_*.html
La Rioja,"BOR, via ambiental: declaraciones e informes de impacto ambiental y autorizaciones ambientales integradas de la Consejeria de Agricultura, Ganaderia, Mundo Rural y Medio Ambiente",https://web.larioja.org/bor-portada/bor,Cubierta por las mismas busquedas a texto completo; se comprobo que estos actos se publican e indexan en el BOR (por ejemplo BOR 133 de 15-07-2026 y BOR 147 de 04-08-2026). Ningun expediente ambiental riojano corresponde a un centro de datos.,los mismos terminos de centro de datos,0 expedientes ambientales de centro de datos,1,"Resultado del barrido de La Rioja: una sola fila. El BOR esta indexado a texto completo desde 1996 y su buscador admite busqueda por frase, de modo que el resultado negativo es solido y no un fallo de acceso. Publica ademas, e indexa, los tres tipos de documento que interesan (anuncios de informacion publica y autorizacion de instalaciones electricas de la Direccion General de Transicion Energetica, declaraciones e informes de impacto ambiental y autorizaciones ambientales integradas, y licencias conjuntas ambientales y de obras de los ayuntamientos), lo que permite afirmar que la ausencia de expedientes es real y no de cobertura. En la ventana 2019 a 2026-09-02 no hay ni un solo expediente de centro de datos en La Rioja: ni electrico, ni ambiental, ni urbanistico, ni municipal, ni en el BOE. El unico expediente nominativo de un CPD en toda la serie del BOR es de 2018 y es el que se aporta: la informacion publica de la licencia conjunta ambiental y de obras de una sala de CPD de Arsys Internet, S.L.U. en la calle Circunde 16 de Logrono, expediente municipal URB20-2018/0170. Se incluye pese a quedar fuera de la ventana porque es el unico registro administrativo del sector en la comunidad y porque identifica al operador de la unica instalacion que el directorio privado atribuye a Logrono; si el criterio de la ventana es estricto, basta con eliminarla. Cobertura de campos: promotor y municipio si; potencia, superficie, presupuesto de ejecucion material e inversion no. Es el mismo patron que en Madrid, agravado: el anuncio municipal riojano es aun mas escueto que el madrileno y no llega a describir la instalacion. Dos hallazgos de contexto que no generan fila. Primero, el Proyecto de Interes Supramunicipal del Parque Cientifico Tecnologico TECHRIOJA en Albelda de Iregua, aprobado definitivamente por Resolucion 836/2025 de 4 de agosto (BOR num. 151 de 07-08-2025, anuncio III.2998): sus normas urbanisticas admiten los centros de procesado de datos como uso pormenorizado dentro del uso de oficinas, pero no hay ningun centro de datos proyectado ni promotor asociado. Es la unica figura territorial riojana equivalente a los proyectos de interes general aragoneses y el emplazamiento donde con mas probabilidad aparecera un expediente en el futuro: conviene vigilarla en barridos posteriores. Segundo, la Agencia de Desarrollo Economico de La Rioja ha publicado en el BOR subvenciones concedidas a Arsys Internet, S.L.U. en varias convocatorias (63.760 euros publicados en 2018, 191.900 euros en 2022, 171.864,05 euros en 2024 y 100.000 euros en 2026): son importes oficiales de ayuda, no de inversion, y las resoluciones no identifican el proyecto subvencionado, por lo que no se convierten en filas; si se quisiera cuantificar la inversion asociada habria que pedir a la ADER la memoria de cada expediente de ayuda, donde consta la inversion subvencionable. Esa peticion es, para esta comunidad, la unica via que podria dar euros. Limitaciones del barrido. La via 4 (prensa y notas institucionales) ha quedado sin cubrir por dos motivos ajenos al metodo: el cupo de WebSearch de la sesion estaba agotado antes de emitir la primera consulta, y actualidad.larioja.org, que aloja las notas de prensa del Gobierno de La Rioja, esta protegido por Cloudflare y devuelve 403 a curl y a WebFetch. Los portales de transparencia, planes y dato abierto de larioja.org cargan sus resultados por JavaScript y tampoco son consultables desde el entorno. Por tanto no puede descartarse que exista algun proyecto anunciado en prensa y aun sin expediente; lo que si puede afirmarse es que, de existir, no ha llegado todavia a ningun boletin. Para cerrar la comunidad en una segunda vuelta bastaria con repetir el barrido de prensa con cupo disponible y capturar la ficha de Logrono de Data Center Map para confirmar que la unica instalacion del directorio es la de Arsys."
La Rioja,"BOR, via electrica: anuncios de informacion publica y de autorizacion administrativa previa y de construccion de instalaciones electricas (Ley 24/2013 art. 53 y RD 1955/2000), Direccion General de Transicion Energetica",https://web.larioja.org/bor-portada/bor?q=%22autorizacion+administrativa+previa%22,"Comprobado que el BOR publica e indexa a texto completo estos anuncios (por ejemplo BOR 168 de 02-09-2026, expedientes AT/00xxxxx de la Consejeria de Economia, Innovacion, Empresa y Trabajo Autonomo), de modo que el resultado negativo de las busquedas por termino es concluyente: ningun anuncio electrico riojano cita un centro de datos como finalidad.","""autorizacion administrativa previa""; ""subestacion""; cruzados despues con los terminos de centro de datos",1.169 y 842 anuncios electricos indexados; 0 con finalidad de centro de datos,1,"Resultado del barrido de La Rioja: una sola fila. El BOR esta indexado a texto completo desde 1996 y su buscador admite busqueda por frase, de modo que el resultado negativo es solido y no un fallo de acceso. Publica ademas, e indexa, los tres tipos de documento que interesan (anuncios de informacion publica y autorizacion de instalaciones electricas de la Direccion General de Transicion Energetica, declaraciones e informes de impacto ambiental y autorizaciones ambientales integradas, y licencias conjuntas ambientales y de obras de los ayuntamientos), lo que permite afirmar que la ausencia de expedientes es real y no de cobertura. En la ventana 2019 a 2026-09-02 no hay ni un solo expediente de centro de datos en La Rioja: ni electrico, ni ambiental, ni urbanistico, ni municipal, ni en el BOE. El unico expediente nominativo de un CPD en toda la serie del BOR es de 2018 y es el que se aporta: la informacion publica de la licencia conjunta ambiental y de obras de una sala de CPD de Arsys Internet, S.L.U. en la calle Circunde 16 de Logrono, expediente municipal URB20-2018/0170. Se incluye pese a quedar fuera de la ventana porque es el unico registro administrativo del sector en la comunidad y porque identifica al operador de la unica instalacion que el directorio privado atribuye a Logrono; si el criterio de la ventana es estricto, basta con eliminarla. Cobertura de campos: promotor y municipio si; potencia, superficie, presupuesto de ejecucion material e inversion no. Es el mismo patron que en Madrid, agravado: el anuncio municipal riojano es aun mas escueto que el madrileno y no llega a describir la instalacion. Dos hallazgos de contexto que no generan fila. Primero, el Proyecto de Interes Supramunicipal del Parque Cientifico Tecnologico TECHRIOJA en Albelda de Iregua, aprobado definitivamente por Resolucion 836/2025 de 4 de agosto (BOR num. 151 de 07-08-2025, anuncio III.2998): sus normas urbanisticas admiten los centros de procesado de datos como uso pormenorizado dentro del uso de oficinas, pero no hay ningun centro de datos proyectado ni promotor asociado. Es la unica figura territorial riojana equivalente a los proyectos de interes general aragoneses y el emplazamiento donde con mas probabilidad aparecera un expediente en el futuro: conviene vigilarla en barridos posteriores. Segundo, la Agencia de Desarrollo Economico de La Rioja ha publicado en el BOR subvenciones concedidas a Arsys Internet, S.L.U. en varias convocatorias (63.760 euros publicados en 2018, 191.900 euros en 2022, 171.864,05 euros en 2024 y 100.000 euros en 2026): son importes oficiales de ayuda, no de inversion, y las resoluciones no identifican el proyecto subvencionado, por lo que no se convierten en filas; si se quisiera cuantificar la inversion asociada habria que pedir a la ADER la memoria de cada expediente de ayuda, donde consta la inversion subvencionable. Esa peticion es, para esta comunidad, la unica via que podria dar euros. Limitaciones del barrido. La via 4 (prensa y notas institucionales) ha quedado sin cubrir por dos motivos ajenos al metodo: el cupo de WebSearch de la sesion estaba agotado antes de emitir la primera consulta, y actualidad.larioja.org, que aloja las notas de prensa del Gobierno de La Rioja, esta protegido por Cloudflare y devuelve 403 a curl y a WebFetch. Los portales de transparencia, planes y dato abierto de larioja.org cargan sus resultados por JavaScript y tampoco son consultables desde el entorno. Por tanto no puede descartarse que exista algun proyecto anunciado en prensa y aun sin expediente; lo que si puede afirmarse es que, de existir, no ha llegado todavia a ningun boletin. Para cerrar la comunidad en una segunda vuelta bastaria con repetir el barrido de prensa con cupo disponible y capturar la ficha de Logrono de Data Center Map para confirmar que la unica instalacion del directorio es la de Arsys."
La Rioja,"BOR, via municipal: licencias conjuntas ambientales y de obras de los ayuntamientos riojanos",https://web.larioja.org/bor-portada/boranuncio?n=anu-519294,"A diferencia de Madrid, los ayuntamientos riojanos (Logrono entre ellos) si publican en el BOR la informacion publica de las solicitudes de licencia conjunta ambiental y de obras, con promotor, actividad y numero de expediente, aunque nunca con presupuesto de ejecucion material. Es la via que produce el unico hallazgo.","""CPD""; ""centro de procesamiento de datos""; ""Arsys""","1 expediente (Arsys Internet, S.L.U., BOR 104 de 05-09-2018)",1,"Resultado del barrido de La Rioja: una sola fila. El BOR esta indexado a texto completo desde 1996 y su buscador admite busqueda por frase, de modo que el resultado negativo es solido y no un fallo de acceso. Publica ademas, e indexa, los tres tipos de documento que interesan (anuncios de informacion publica y autorizacion de instalaciones electricas de la Direccion General de Transicion Energetica, declaraciones e informes de impacto ambiental y autorizaciones ambientales integradas, y licencias conjuntas ambientales y de obras de los ayuntamientos), lo que permite afirmar que la ausencia de expedientes es real y no de cobertura. En la ventana 2019 a 2026-09-02 no hay ni un solo expediente de centro de datos en La Rioja: ni electrico, ni ambiental, ni urbanistico, ni municipal, ni en el BOE. El unico expediente nominativo de un CPD en toda la serie del BOR es de 2018 y es el que se aporta: la informacion publica de la licencia conjunta ambiental y de obras de una sala de CPD de Arsys Internet, S.L.U. en la calle Circunde 16 de Logrono, expediente municipal URB20-2018/0170. Se incluye pese a quedar fuera de la ventana porque es el unico registro administrativo del sector en la comunidad y porque identifica al operador de la unica instalacion que el directorio privado atribuye a Logrono; si el criterio de la ventana es estricto, basta con eliminarla. Cobertura de campos: promotor y municipio si; potencia, superficie, presupuesto de ejecucion material e inversion no. Es el mismo patron que en Madrid, agravado: el anuncio municipal riojano es aun mas escueto que el madrileno y no llega a describir la instalacion. Dos hallazgos de contexto que no generan fila. Primero, el Proyecto de Interes Supramunicipal del Parque Cientifico Tecnologico TECHRIOJA en Albelda de Iregua, aprobado definitivamente por Resolucion 836/2025 de 4 de agosto (BOR num. 151 de 07-08-2025, anuncio III.2998): sus normas urbanisticas admiten los centros de procesado de datos como uso pormenorizado dentro del uso de oficinas, pero no hay ningun centro de datos proyectado ni promotor asociado. Es la unica figura territorial riojana equivalente a los proyectos de interes general aragoneses y el emplazamiento donde con mas probabilidad aparecera un expediente en el futuro: conviene vigilarla en barridos posteriores. Segundo, la Agencia de Desarrollo Economico de La Rioja ha publicado en el BOR subvenciones concedidas a Arsys Internet, S.L.U. en varias convocatorias (63.760 euros publicados en 2018, 191.900 euros en 2022, 171.864,05 euros en 2024 y 100.000 euros en 2026): son importes oficiales de ayuda, no de inversion, y las resoluciones no identifican el proyecto subvencionado, por lo que no se convierten en filas; si se quisiera cuantificar la inversion asociada habria que pedir a la ADER la memoria de cada expediente de ayuda, donde consta la inversion subvencionable. Esa peticion es, para esta comunidad, la unica via que podria dar euros. Limitaciones del barrido. La via 4 (prensa y notas institucionales) ha quedado sin cubrir por dos motivos ajenos al metodo: el cupo de WebSearch de la sesion estaba agotado antes de emitir la primera consulta, y actualidad.larioja.org, que aloja las notas de prensa del Gobierno de La Rioja, esta protegido por Cloudflare y devuelve 403 a curl y a WebFetch. Los portales de transparencia, planes y dato abierto de larioja.org cargan sus resultados por JavaScript y tampoco son consultables desde el entorno. Por tanto no puede descartarse que exista algun proyecto anunciado en prensa y aun sin expediente; lo que si puede afirmarse es que, de existir, no ha llegado todavia a ningun boletin. Para cerrar la comunidad en una segunda vuelta bastaria con repetir el barrido de prensa con cupo disponible y capturar la ficha de Logrono de Data Center Map para confirmar que la unica instalacion del directorio es la de Arsys."
